Start_Station,End_Station,Distance_km,Fare_INR
Kengeri,Banashankari,27.6,90
Kengeri,Jayaprakash Nagar,28.8,90
Kengeri,Yelachenahalli,30.0,90
Kengeri,Konanakunte Cross,31.2,90
Kengeri,Doddakallasandra,32.4,90
Kengeri,Vajarahalli,33.6,90
Kengeri,Thalaghattapura,34.8,90
Kengeri,Silk Institute,36.0,90
Kengeri,Ragigudda,27.6,90
Kengeri,Jayadeva Hospital,28.8,90
Kengeri,BTM Layout,30.0,90
Kengeri,Central Silk Board,31.2,90
Kengeri,Bommanahalli,32.4,90
Kengeri,Hongasandra,33.6,90
Kengeri,Kudlu Gate,34.8,90
Kengeri,Singasandra,36.0,90
Kengeri,Hosa Road,37.2,90
Kengeri,Beratena Agrahara,38.4,90
Kengeri,Electronic City,39.6,90
Kengeri,Infosys Foundation Konappana Agrahara,40.8,90
Kengeri,Huskur Road,42.0,90
Kengeri,Biocon Hebbagodi,43.2,90
Kengeri,Delta Electronics Bommasandra,44.4,90
Kengeri,Bommasandra,45.6,90
Pattanagere,Challaghatta,3.6,20
Pattanagere,Kengeri Bus Terminal,2.4,20
Pattanagere,Kengeri,1.2,10
Pattanagere,Pattanagere,0.0,10
Pattanagere,Jnanabharathi,1.2,10
Pattanagere,Rajarajeshwari Nagar,2.4,20
Pattanagere,RR Nagar,3.6,20
Pattanagere,Nayandahalli,4.8,20
Pattanagere,Pantharapalya – Nayandahalli,6.0,30
Pattanagere,Mysuru Road,7.2,30
Pattanagere,Deepanjali Nagar,8.4,30
Pattanagere,Attiguppe,9.6,30
Pattanagere,Vijayanagar,10.8,40
Pattanagere,Hosahalli,12.0,40
Pattanagere,"Sri Balagangadharanatha Swamiji Station, Hosahalli",13.2,40
Pattanagere,Magadi Road,14.4,40
Pattanagere,Krantiveera Sangolli Rayanna Railway Station,15.6,50
Pattanagere,Majestic (Nadaprabhu Kempegowda),16.8,50
Pattanagere,Sir M. Visvesvaraya,18.0,50
Pattanagere,Vidhana Soudha,19.2,50
Pattanagere,Cubbon Park,20.4,60
Pattanagere,Mahatma Gandhi Road,21.6,60
Pattanagere,Trinity,22.8,60
Pattanagere,Halasuru,24.0,60
Pattanagere,Indiranagar,25.2,90
Pattanagere,Swami Vivekananda Road,26.4,90
Pattanagere,Baiyyappanahalli,27.6,90
Pattanagere,Bennigana Halli,28.8,90
Pattanagere,Krishnarajapura,30.0,90
Pattanagere,Singayyanapalya,31.2,90
Pattanagere,Garudacharpalya,32.4,90
Pattanagere,Hoodi,33.6,90
Pattanagere,Seetharamapalya,34.8,90
Pattanagere,Kundalahalli,36.0,90
Pattanagere,Nallurhalli,37.2,90
Pattanagere,Sri Sathya Sai Hospital,38.4,90
Pattanagere,Pattandur Agrahara,39.6,90
Pattanagere,Kadugodi Tree Park,40.8,90
Pattanagere,Channasandra,42.0,90
Pattanagere,Whitefield (Kadugodi),43.2,90
Pattanagere,Madavara,36.0,90
Pattanagere,Chikkabidarakallu,34.8,90
Pattanagere,Manjunath Nagar,33.6,90
Pattanagere,Nagasandra,32.4,90
Pattanagere,Dasarahalli,31.2,90
Pattanagere,Jalahalli,30.0,90
Pattanagere,Peenya Industry,28.8,90
Pattanagere,Peenya,27.6,90
Pattanagere,Goraguntepalya,26.4,90
Pattanagere,Yeshwanthpur,25.2,90
Pattanagere,Sandal Soap Factory,24.0,60
Pattanagere,Mahalakshmi,22.8,60
Pattanagere,Rajajinagar,21.6,60
Pattanagere,Kuvempu Road,20.4,60
Pattanagere,Srirampura,19.2,50
Pattanagere,Mantri Square Sampige Road,18.0,50
Pattanagere,Chickpete,18.0,50
Pattanagere,Krishna Rajendra Market,19.2,50
Pattanagere,National College,20.4,60
Pattanagere,Lalbagh,21.6,60
Pattanagere,South End Circle,22.8,60
Pattanagere,Jayanagar,24.0,60
Pattanagere,Rashtriya Vidyalaya Road,25.2,90
Pattanagere,Banashankari,26.4,90
Pattanagere,Jayaprakash Nagar,27.6,90
Pattanagere,Yelachenahalli,28.8,90
Pattanagere,Konanakunte Cross,30.0,90
Pattanagere,Doddakallasandra,31.2,90
Pattanagere,Vajarahalli,32.4,90
Pattanagere,Thalaghattapura,33.6,90
Pattanagere,Silk Institute,34.8,90
Pattanagere,Ragigudda,26.4,90
Pattanagere,Jayadeva Hospital,27.6,90
Pattanagere,BTM Layout,28.8,90
Pattanagere,Central Silk Board,30.0,90
Pattanagere,Bommanahalli,31.2,90
Pattanagere,Hongasandra,32.4,90
Pattanagere,Kudlu Gate,33.6,90
Pattanagere,Singasandra,34.8,90
Pattanagere,Hosa Road,36.0,90
Pattanagere,Beratena Agrahara,37.2,90
Pattanagere,Electronic City,38.4,90
Pattanagere,Infosys Foundation Konappana Agrahara,39.6,90
Pattanagere,Huskur Road,40.8,90
Pattanagere,Biocon Hebbagodi,42.0,90
Pattanagere,Delta Electronics Bommasandra,43.2,90
Pattanagere,Bommasandra,44.4,90
Jnanabharathi,Challaghatta,4.8,20
Jnanabharathi,Kengeri Bus Terminal,3.6,20
Jnanabharathi,Kengeri,2.4,20
Jnanabharathi,Pattanagere,1.2,10
Jnanabharathi,Jnanabharathi,0.0,10
Jnanabharathi,Rajarajeshwari Nagar,1.2,10
Jnanabharathi,RR Nagar,2.4,20
Jnanabharathi,Nayandahalli,3.6,20
Jnanabharathi,Pantharapalya – Nayandahalli,4.8,20
Jnanabharathi,Mysuru Road,6.0,30
Jnanabharathi,Deepanjali Nagar,7.2,30
Jnanabharathi,Attiguppe,8.4,30
Jnanabharathi,Vijayanagar,9.6,30
Jnanabharathi,Hosahalli,10.8,40
Jnanabharathi,"Sri Balagangadharanatha Swamiji Station, Hosahalli",12.0,40
Jnanabharathi,Magadi Road,13.2,40
Jnanabharathi,Krantiveera Sangolli Rayanna Railway Station,14.4,40
Jnanabharathi,Majestic (Nadaprabhu Kempegowda),15.6,50
Jnanabharathi,Sir M. Visvesvaraya,16.8,50
Jnanabharathi,Vidhana Soudha,18.0,50
Jnanabharathi,Cubbon Park,19.2,50
Jnanabharathi,Mahatma Gandhi Road,20.4,60
Jnanabharathi,Trinity,21.6,60
Jnanabharathi,Halasuru,22.8,60
Jnanabharathi,Indiranagar,24.0,60
Jnanabharathi,Swami Vivekananda Road,25.2,90
Jnanabharathi,Baiyyappanahalli,26.4,90
Jnanabharathi,Bennigana Halli,27.6,90
Jnanabharathi,Krishnarajapura,28.8,90
Jnanabharathi,Singayyanapalya,30.0,90
Jnanabharathi,Garudacharpalya,31.2,90
Jnanabharathi,Hoodi,32.4,90
Jnanabharathi,Seetharamapalya,33.6,90
Jnanabharathi,Kundalahalli,34.8,90
Jnanabharathi,Nallurhalli,36.0,90
Jnanabharathi,Sri Sathya Sai Hospital,37.2,90
Jnanabharathi,Pattandur Agrahara,38.4,90
Jnanabharathi,Kadugodi Tree Park,39.6,90
Jnanabharathi,Channasandra,40.8,90
Jnanabharathi,Whitefield (Kadugodi),42.0,90
Jnanabharathi,Madavara,34.8,90
Jnanabharathi,Chikkabidarakallu,33.6,90
Jnanabharathi,Manjunath Nagar,32.4,90
Jnanabharathi,Nagasandra,31.2,90
Jnanabharathi,Dasarahalli,30.0,90
Jnanabharathi,Jalahalli,28.8,90
Jnanabharathi,Peenya Industry,27.6,90
Jnanabharathi,Peenya,26.4,90
Jnanabharathi,Goraguntepalya,25.2,90
Jnanabharathi,Yeshwanthpur,24.0,60
Jnanabharathi,Sandal Soap Factory,22.8,60
Jnanabharathi,Mahalakshmi,21.6,60
Jnanabharathi,Rajajinagar,20.4,60
Jnanabharathi,Kuvempu Road,19.2,50
Jnanabharathi,Srirampura,18.0,50
Jnanabharathi,Mantri Square Sampige Road,16.8,50
Jnanabharathi,Chickpete,16.8,50
Jnanabharathi,Krishna Rajendra Market,18.0,50
Jnanabharathi,National College,19.2,50
Jnanabharathi,Lalbagh,20.4,60
Jnanabharathi,South End Circle,21.6,60
Jnanabharathi,Jayanagar,22.8,60
Jnanabharathi,Rashtriya Vidyalaya Road,24.0,60
Jnanabharathi,Banashankari,25.2,90
Jnanabharathi,Jayaprakash Nagar,26.4,90
Jnanabharathi,Yelachenahalli,27.6,90
Jnanabharathi,Konanakunte Cross,28.8,90
Jnanabharathi,Doddakallasandra,30.0,90
Jnanabharathi,Vajarahalli,31.2,90
Jnanabharathi,Thalaghattapura,32.4,90
Jnanabharathi,Silk Institute,33.6,90
Jnanabharathi,Ragigudda,25.2,90
Jnanabharathi,Jayadeva Hospital,26.4,90
Jnanabharathi,BTM Layout,27.6,90
Jnanabharathi,Central Silk Board,28.8,90
Jnanabharathi,Bommanahalli,30.0,90
Jnanabharathi,Hongasandra,31.2,90
Jnanabharathi,Kudlu Gate,32.4,90
Jnanabharathi,Singasandra,33.6,90
Jnanabharathi,Hosa Road,34.8,90
Jnanabharathi,Beratena Agrahara,36.0,90
Jnanabharathi,Electronic City,37.2,90
Jnanabharathi,Infosys Foundation Konappana Agrahara,38.4,90
Jnanabharathi,Huskur Road,39.6,90
Jnanabharathi,Biocon Hebbagodi,40.8,90
Jnanabharathi,Delta Electronics Bommasandra,42.0,90
Jnanabharathi,Bommasandra,43.2,90
Rajarajeshwari Nagar,Challaghatta,6.0,30
Rajarajeshwari Nagar,Kengeri Bus Terminal,4.8,20
Rajarajeshwari Nagar,Kengeri,3.6,20
Rajarajeshwari Nagar,Pattanagere,2.4,20
Rajarajeshwari Nagar,Jnanabharathi,1.2,10
Rajarajeshwari Nagar,Rajarajeshwari Nagar,0.0,10
Rajarajeshwari Nagar,RR Nagar,1.2,10
Rajarajeshwari Nagar,Nayandahalli,2.4,20
Rajarajeshwari Nagar,Pantharapalya – Nayandahalli,3.6,20
Rajarajeshwari Nagar,Mysuru Road,4.8,20
Rajarajeshwari Nagar,Deepanjali Nagar,6.0,30
Rajarajeshwari Nagar,Attiguppe,7.2,30
Rajarajeshwari Nagar,Vijayanagar,8.4,30
Rajarajeshwari Nagar,Hosahalli,9.6,30
Rajarajeshwari Nagar,"Sri Balagangadharanatha Swamiji Station, Hosahalli",10.8,40
Rajarajeshwari Nagar,Magadi Road,12.0,40
Rajarajeshwari Nagar,Krantiveera Sangolli Rayanna Railway Station,13.2,40
Rajarajeshwari Nagar,Majestic (Nadaprabhu Kempegowda),14.4,40
Rajarajeshwari Nagar,Sir M. Visvesvaraya,15.6,50
Rajarajeshwari Nagar,Vidhana Soudha,16.8,50
Rajarajeshwari Nagar,Cubbon Park,18.0,50
Rajarajeshwari Nagar,Mahatma Gandhi Road,19.2,50
Rajarajeshwari Nagar,Trinity,20.4,60
Rajarajeshwari Nagar,Halasuru,21.6,60
Rajarajeshwari Nagar,Indiranagar,22.8,60
Rajarajeshwari Nagar,Swami Vivekananda Road,24.0,60
Rajarajeshwari Nagar,Baiyyappanahalli,25.2,90
Rajarajeshwari Nagar,Bennigana Halli,26.4,90
Rajarajeshwari Nagar,Krishnarajapura,27.6,90
Rajarajeshwari Nagar,Singayyanapalya,28.8,90
Rajarajeshwari Nagar,Garudacharpalya,30.0,90
Rajarajeshwari Nagar,Hoodi,31.2,90
Rajarajeshwari Nagar,Seetharamapalya,32.4,90
Rajarajeshwari Nagar,Kundalahalli,33.6,90
Rajarajeshwari Nagar,Nallurhalli,34.8,90
Rajarajeshwari Nagar,Sri Sathya Sai Hospital,36.0,90
Rajarajeshwari Nagar,Pattandur Agrahara,37.2,90
Rajarajeshwari Nagar,Kadugodi Tree Park,38.4,90
Rajarajeshwari Nagar,Channasandra,39.6,90
Rajarajeshwari Nagar,Whitefield (Kadugodi),40.8,90
Rajarajeshwari Nagar,Madavara,33.6,90
Rajarajeshwari Nagar,Chikkabidarakallu,32.4,90
Rajarajeshwari Nagar,Manjunath Nagar,31.2,90
Rajarajeshwari Nagar,Nagasandra,30.0,90
Rajarajeshwari Nagar,Dasarahalli,28.8,90
Rajarajeshwari Nagar,Jalahalli,27.6,90
Rajarajeshwari Nagar,Peenya Industry,26.4,90
Rajarajeshwari Nagar,Peenya,25.2,90
Rajarajeshwari Nagar,Goraguntepalya,24.0,60
Rajarajeshwari Nagar,Yeshwanthpur,22.8,60
Rajarajeshwari Nagar,Sandal Soap Factory,21.6,60
Rajarajeshwari Nagar,Mahalakshmi,20.4,60
Rajarajeshwari Nagar,Rajajinagar,19.2,50
Rajarajeshwari Nagar,Kuvempu Road,18.0,50
Rajarajeshwari Nagar,Srirampura,16.8,50
Rajarajeshwari Nagar,Mantri Square Sampige Road,15.6,50
Rajarajeshwari Nagar,Chickpete,15.6,50
Rajarajeshwari Nagar,Krishna Rajendra Market,16.8,50
Rajarajeshwari Nagar,National College,18.0,50
Rajarajeshwari Nagar,Lalbagh,19.2,50
Rajarajeshwari Nagar,South End Circle,20.4,60
Rajarajeshwari Nagar,Jayanagar,21.6,60
Rajarajeshwari Nagar,Rashtriya Vidyalaya Road,22.8,60
Rajarajeshwari Nagar,Banashankari,24.0,60
Rajarajeshwari Nagar,Jayaprakash Nagar,25.2,90
Rajarajeshwari Nagar,Yelachenahalli,26.4,90
Rajarajeshwari Nagar,Konanakunte Cross,27.6,90
Rajarajeshwari Nagar,Doddakallasandra,28.8,90
Rajarajeshwari Nagar,Vajarahalli,30.0,90
Rajarajeshwari Nagar,Thalaghattapura,31.2,90
Rajarajeshwari Nagar,Silk Institute,32.4,90
Rajarajeshwari Nagar,Ragigudda,24.0,60
Rajarajeshwari Nagar,Jayadeva Hospital,25.2,90
Rajarajeshwari Nagar,BTM Layout,26.4,90
Rajarajeshwari Nagar,Central Silk Board,27.6,90
Rajarajeshwari Nagar,Bommanahalli,28.8,90
Rajarajeshwari Nagar,Hongasandra,30.0,90
Rajarajeshwari Nagar,Kudlu Gate,31.2,90
Rajarajeshwari Nagar,Singasandra,32.4,90
Rajarajeshwari Nagar,Hosa Road,33.6,90
Rajarajeshwari Nagar,Beratena Agrahara,34.8,90
Rajarajeshwari Nagar,Electronic City,36.0,90
Rajarajeshwari Nagar,Infosys Foundation Konappana Agrahara,37.2,90
Rajarajeshwari Nagar,Huskur Road,38.4,90
Rajarajeshwari Nagar,Biocon Hebbagodi,39.6,90
Rajarajeshwari Nagar,Delta Electronics Bommasandra,40.8,90
Rajarajeshwari Nagar,Bommasandra,42.0,90
RR Nagar,Challaghatta,7.2,30
RR Nagar,Kengeri Bus Terminal,6.0,30
RR Nagar,Kengeri,4.8,20
RR Nagar,Pattanagere,3.6,20
RR Nagar,Jnanabharathi,2.4,20
RR Nagar,Rajarajeshwari Nagar,1.2,10
RR Nagar,RR Nagar,0.0,10
RR Nagar,Nayandahalli,1.2,10
RR Nagar,Pantharapalya – Nayandahalli,2.4,20
RR Nagar,Mysuru Road,3.6,20
RR Nagar,Deepanjali Nagar,4.8,20
RR Nagar,Attiguppe,6.0,30
RR Nagar,Vijayanagar,7.2,30
RR Nagar,Hosahalli,8.4,30
RR Nagar,"Sri Balagangadharanatha Swamiji Station, Hosahalli",9.6,30
RR Nagar,Magadi Road,10.8,40
RR Nagar,Krantiveera Sangolli Rayanna Railway Station,12.0,40
RR Nagar,Majestic (Nadaprabhu Kempegowda),13.2,40
RR Nagar,Sir M. Visvesvaraya,14.4,40
RR Nagar,Vidhana Soudha,15.6,50
RR Nagar,Cubbon Park,16.8,50
RR Nagar,Mahatma Gandhi Road,18.0,50
RR Nagar,Trinity,19.2,50
RR Nagar,Halasuru,20.4,60
RR Nagar,Indiranagar,21.6,60
RR Nagar,Swami Vivekananda Road,22.8,60
RR Nagar,Baiyyappanahalli,24.0,60
RR Nagar,Bennigana Halli,25.2,90
RR Nagar,Krishnarajapura,26.4,90
RR Nagar,Singayyanapalya,27.6,90
RR Nagar,Garudacharpalya,28.8,90
RR Nagar,Hoodi,30.0,90
RR Nagar,Seetharamapalya,31.2,90
RR Nagar,Kundalahalli,32.4,90
RR Nagar,Nallurhalli,33.6,90
RR Nagar,Sri Sathya Sai Hospital,34.8,90
RR Nagar,Pattandur Agrahara,36.0,90
RR Nagar,Kadugodi Tree Park,37.2,90
RR Nagar,Channasandra,38.4,90
RR Nagar,Whitefield (Kadugodi),39.6,90
RR Nagar,Madavara,32.4,90
RR Nagar,Chikkabidarakallu,31.2,90
RR Nagar,Manjunath Nagar,30.0,90
